"!,",,,,,,,
_a_soutenu,+=,tags,Année,+Pages,+Autres_sources,Commentaire,
Macron,Delahousse,MacronFr2,,19,,,
Dassault_S,Valls,,2012,41,http://www.lefigaro.fr/flash-actu/2012/09/10/97001-20120910FILWWW00681-dassault-soutient-publiquement-valls.php,,
,,,,,,,
,,,,,,,
,,,,,,,
"!,",,,,,,,
_a_défié,+=,tags,Année,+Pages,+Autres_sources,weight[0.01],Commentaire
Macron,Ernotte,MacronFr2,,19,,0.01,
Ernotte,Delahousse,MacronFr2,,,,0.01,
