
! https://hackmd.io/2IuIeln8RtWv2pNWCf2W5A 


! https://hackmd.io/2IuIeln8RtWv2pNWCf2W5A 

! Crepuscule tente de représenter les conflits d'intérêts
! mis en évidence par l'écrit "Crépuscule" de Juan Branco.
! Enlever le “!” avant le & pour les afficher dans le graphe
! @ Structures
! @ Evénements 
! _ Relations
! _ Paramètres de relations réifiées
! @ Personnes


! https://calc.padagraph.io/crepuscule-medias 

"!,",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,


! https://calc.padagraph.io/crepuscule-entreprises 

"!,",,,,,,,,,,,,
"@Entreprise: #label",%+boss,"+membres CA",%+salarié⋅es,%+actionnaires,%+fondateurs,%+Maison_mere,image,shape[square],size[0.5],nom,+pages,+Autres_sources
Altice,Drahi,,,,,,http://altice.net/sites/all/themes/zen_altice/logo.png,,,Altice,,
Altice_Media_Group,Mourad,,,,,Altice,,,,"Altice Media Group",,https://fr.wikipedia.org/wiki/Altice_Europe
AREVA,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Areva.svg/220px-Logo_Areva.svg.png,,,AREVA,,
Bank_of_America,Mourad,,,,,,,,,"Bank of America",49,
Boussac,Arnault_B,,,,,LVMH,,,,,,
Bouygues,Bouygues_M,,,,,,,,,Bouygues,,
Carrefour,,,Brouaux,Arnault_B,,,,,,,,
Dassault_Systèmes,,,Pénicaud,,,GIMD,,,,"Dassault Systèmes",,https://fr.wikipedia.org/wiki/Muriel_PA13%A9nicaud
Free,Niel,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Free_logo.svg/1280px-Free_logo.svg.png,,,Free,,
GIMD,"Dassault_S, Dassault_M",,,,,,,,,"Groupe Dassault",,
Groupe_Bolloré,Bolloré_V,,,,,,,,,"Groupe Bolloré",,
Havas,"Fouks, Bolloré_Y",,"Brouaux, Ribault",,,Vivendi,https://global.admin-na.havasww.com/wp-content/themes/havas/images/logo-white.png,,,Havas,,https://fr.wikipedia.org/wiki/Havas
Kyrnos_Conseil,Squarcini,,,,,,,,,"Kyrnos Conseil",,https://web.archive.org/web/20150323225316/https://www.societe.com/societe/kyrnos-conseil-791518327.html
Lagardère,Lagardère_A,,,,,,https://img1.telestar.fr/var/telestar/storage/images/3/1/5/2/3152934/lagardere-active_width1024.jpg,,,Lagardère,,
Lagardère_Active,Khiroun,,,,,Lagardère,,,,Lagardère_Active,17,
LML,"Niel, Pigasse",,,,,,,,,"Le Monde libre",41,
LNEI,Pigasse,,,,,,,,,,,https://www.monde-diplomatique.fr/cartes/PPA#&gid=1&pid=1
Louis_Vuitton,Arnault_D,,,,,LVMH,,,,"Louis Vuitton",,https://fr.wikipedia.org/wiki/Louis_Vuitton
