"!,",,,,,,,,,,,,,
"@Personne: #id",+Noms,+Prénoms,+Adresses,+Cursus,%+Travaille_pour,%+Actionnaire_de,%+Membre_de,%+Parents,%+Intimes,%+avocats,image,+Pages,+Autres_sources
Wargon,Wargon,Emmanuelle,,,,,,,,,https://www.challenges.fr/assets/img/2018/10/16/cover-r4x3w1000-5bc600e4af3db-sipa-00700438-000040.jpg,,
Barbizet,Barbizet,Patricia,,,,,,,,,https://images.lesechos.fr/archives/2017/LesEchos/22583/ECH22583116_1.jpg,,
Gassier-Weill,Gassier-Weill,Catherine,,,,,,Weill,,,http://www.yb-consulting.fr/wp/wp-content/uploads/2016/12/portrait3.png,,
Drahi,Drahi,Patrick,,,,,Altice,,Joffrin,,https://medias.liberation.fr/photo/887191-000_bm6cw.jpg?modified_at=1466597020&width=960,,
Blanquer,Blanquer,Jean-Michel,,,,,EM,,,,https://img.aws.la-croix.com/2017/09/04/1200874114/ministre-leducation-nationale-Jean-Michel-Blanquer_0_729_486.jpg,,
Pénicaud,Pénicaud,Muriel,,,,,EM,,,,"https://resize-parismatch.ladmedia.fr/r/625,417,center-middle,ffffff/img/var/news/storage/images/paris-match/actu/politique/qui-est-muriel-penicaud-la-nouvelle-ministre-du-travail-1259570/21130982-1-fre-FR/Qui-est-Muriel-Penicaud-la-nouvelle-ministre-du-Travail.jpg",,
Bolloré,Bolloré,Vincent,,,,,,,,,"https://resize-parismatch.ladmedia.fr/r/625,417,center-middle,ffffff/img/var/news/storage/images/paris-match/culture/medias/complement-d-enquete-bollore-demande-50-millions-d-euros-a-france-televisions-1486808/24349658-1-fre-FR/Complement-d-enquete-Bollore-demande-50-millions-d-euros-a-France-Televisions.jpg",,
Finchelstein,Finchelstein,Gilles,,,,,Fondation_Jean-Jaurès,,,,https://static.ladepeche.fr/content/media/image/zoom/2016/03/09/201603091231-full.jpg,,
De_Warren,"De Warren",Judith,,,,,,Jouyet,,,https://media.licdn.com/dms/image/C5103AQF9xV5MElOYyA/profile-displayphoto-shrink_200_200/0?e=1547683200&v=beta&t=FFMIIAlTQvUtD1GA4A6O9HXFDLEMRwqen5mzM1hyVPM,,
Le_Drian_JY,"Le Drian",Jean-Yves,,,,,PS,Le_Drian_T,,,https://www.tourmag.com/photo/art/grande/14058434-20153998.jpg?v=1496044791,,
Le_Drian_T,"Le Drian",Thomas,,,,,,Le_Drian_JY,,,https://pbs.twimg.com/profile_images/974332900756918273/S0AHkrFJ.jpg,,
Attal_G,Attal,Gabriel,,,,,EM,"Attal_Y✝, Séjourné",,,http://s1.lprs1.fr/images/2017/06/19/7067613_4a09f596-54fb-11e7-9740-47c1f9c85791-1_1000x625.jpg,,
Griveaux,Griveaux,Benjamin,,,,,EM,,,,"https://resize-parismatch.ladmedia.fr/r/625,417,center-middle,ffffff/img/var/news/storage/images/paris-match/actu/politique/grand-debat-jouanno-doit-tirer-les-enseignements-de-son-retrait-selon-griveaux-1598883/25900932-1-fre-FR/Grand-debat-Jouanno-doit-tirer-les-enseignements-de-son-retrait-selon-Griveaux.jpg",,
Padis,Padis,Marc-Olivier,,,,,Esprit,,,,https://img.aws.la-croix.com/2016/12/15/1100810900/Marc-Olivier-Padis_0_730_356.jpg,,
Ribault,Ribault,Hélène,,,,,Havas,Emelien,,,https://www.ladn.eu/wp-content/uploads/2016/07/actu_24923_vignette.png,,
Tertrais,Tertrais,Bruno,,,,,,,,,https://pbs.twimg.com/profile_images/804956361155112960/gs0SZzPY_400x400.jpg,,
Séjourné,Séjourné,Stéphane,,,,,EM,Attal_G,,,https://pbs.twimg.com/profile_images/685166040481935360/HmWec7VL_400x400.jpg,,
Attal_Y✝,Attal✝,Yves,,,,,,Attal_G,,,https://www.raal.be/wp-content/uploads/2017/06/anonyme.png,,
Missika,Missika,Jean-Louis,,,,,,,,,https://images.lesechos.fr/archives/2017/LesEchos/22403/ECH22403513_1.jpg,,
Hidalgo,Hidalgo,Anne,,,,,PS,,,,https://pbs.twimg.com/profile_images/1026063030428344320/FxlsK6Kd_400x400.jpg,,
Girard,Girard,Christophe,,,,,,,,,https://www.telerama.fr/sites/tr_master/files/styles/simplecrop1000/public/maxpeoplefrfour303273_0_0.jpg,,
Ernotte,Ernotte,Delphine,,,,,,,,,https://pbs.twimg.com/profile_images/636518691472023552/eofDUBhm_400x400.jpg,,
Delahousse,Delahousse,Laurent,,,,,,,,,http://static1.ozap.com/people/0/72/0/@/4455188-laurent-delahousse-entity_default-1.jpg,,
Mauduit,Mauduit,Laurent,,,Mediapart,Mediapart,,Brouaux,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Mauduit.png/260px-Mauduit.png,,https://www.liberation.fr/checknews/2017/10/02/est-ce-que-xavier-niel-est-un-actionnaire-de-mediapart_1652506
Brouaux,"Brouaux Mauduit",Marie-Noëlle,,,"Carrefour, Havas",,,Mauduit,,,https://www.lsa-conso.fr/mediatheque/3/0/2/000015203_103.jpg,,
Joffrin,Joffrin,Laurent,,,Libération,,,,Drahi,,http://static1.ozap.com/people/2/41/95/82/@/756876-laurent-joffrin-entity_default-1.jpg,,
Hollande,Hollande,François,,,,,PS,,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Francois_Hollande_2015.jpeg,,
Kretinsky,Kretinsky,Daniel,,,,,,,,,https://www.lepoint.fr/images/2018/10/20/17395640lpw-17395639-article-jpg_5660995.jpg,,
Trump,Trump,Donald,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Donald_Trump_official_portrait.jpg/220px-Donald_Trump_official_portrait.jpg,,
Fabius,Fabius,Laurent,,,,,PS,,,,,,
Pigasse,Pigasse,Matthieu,,,,,,,,,,,https://fr.wikipedia.org/wiki/Le_Monde_libre
Dassault_S,Dassault,Serge,,,,,,Dassault_L,,,,,
Dassault_L,Dassault,Laurent,,,,,,Dassault_S,,,,,
Valls,Valls,Manuel,,,,,PS,,,,,,
Dreyfus,Dreyfus,Louis,,,Niel,,,,,,,42,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
